id	total	white	black	Asian	other
0801002	876	751	17	108	0
0801003	834	784	18	17	15
0801004	1183	1104	19	39	0
0801005	923	838	0	67	18
0801006	827	781	0	46	0
0801007	450	450	0	0	0
0802011	1284	1151	32	49	16
0802012	1447	1277	32	121	17
0802013	757	723	0	0	0
0802021	511	511	0	0	0
0802022	932	847	54	31	0
0802023	1735	1407	163	165	0
0803001	756	664	0	92	0
0803002	1718	1462	136	107	13
0803003	941	819	63	40	0
0803004	888	790	51	47	0
0804001	2786	530	2078	24	154
0804002	696	0	696	0	0
0804003	1290	832	269	121	0
0810001	336	284	0	39	0
0810002	1240	1110	46	84	0
0810003	1002	714	158	109	21
0810004	1170	614	296	161	86
0810005	2471	1809	121	367	124
0810006	1289	849	223	217	0
0811001	895	878	17	0	0
0811002	1305	924	216	101	46
0811003	1184	996	48	140	0
0812011	923	788	16	74	0
0812012	1619	1400	19	174	16
0812013	1310	990	39	237	12
0812021	549	533	0	16	0
0812022	755	550	0	22	151
0812023	926	810	0	67	31
0812024	695	695	0	0	0
0813001	786	623	13	141	9
0813002	542	532	0	10	0
0813003	871	826	45	0	0
0813004	1689	1315	44	330	0
0813005	639	542	0	97	0
0813006	781	677	49	55	0
0814011	923	788	31	104	0
0814012	1574	981	414	117	35
0814021	2291	2004	44	225	0
0814022	1093	866	20	193	0
0814023	649	511	0	70	0
0814031	2968	2071	165	428	235
0814032	970	668	0	280	0
0814033	1744	1267	19	423	0
0815001	1721	1267	7	432	15
0815002	1489	1317	32	64	0
0815003	821	652	61	108	0
0816001	2328	1617	37	327	197
0816002	1013	791	0	178	44
0817001	925	715	138	54	18
0817002	1889	1359	18	327	185
0818001	3046	2495	81	255	104
0818002	1898	1499	62	273	38
0818003	1431	1256	30	133	0
0819001	1293	477	720	67	9
0901001	953	916	0	29	8
0901002	953	913	0	30	0
0901003	701	701	0	0	0
0901004	801	801	0	0	0
0902001	881	794	0	69	18
0902002	1297	1261	0	0	11
0902003	1627	1473	0	98	11
0902004	1682	1563	0	12	0
0902005	855	854	1	0	0
0903001	1485	1458	0	4	9
1001001	1183	986	14	69	65
1001002	1780	1517	33	0	0
1001003	1193	956	0	146	0
1001004	440	339	0	18	83
1001005	1387	1138	0	230	0
1002001	1575	1307	98	0	28
1002002	515	457	0	33	0
1002003	1524	1127	71	0	326
1002004	1106	1065	0	0	26
1002005	712	571	0	0	38
1002006	884	884	0	0	0
1002007	733	494	0	156	83
1003001	771	666	8	9	88
1003002	1279	1078	20	71	110
1003003	1088	1053	35	0	0
1003004	1079	1070	5	4	0
1003005	795	716	0	0	31
1003006	1238	1221	0	4	5
1004001	736	736	0	0	0
1004002	1077	1051	0	19	7
1004003	1309	1162	5	121	21
